raw_id,t_group,t_start,sorted_record_index,source_t_group,source_record_index,element,edge_x,edge_y,edge_z,edge_L,edge_tcoord,edge_tL,edge_dir,source_h0,source_h1,source_h2,source_h3,source_h4,source_h5,source_h6,source_h7,face_axis,face_axis_role,face_side,h0,h1,h2,h3,t0,t1,t2,t3,A,B,root_num,root_den,u_num,u_den,v_num,v_den,logical_incidence_id,canonical_event_id
cache=0:0:13759;source=0:13900;face=0:1,0,0,13759,0,13900,1,44,116,68,7,0,0,2,23165:2,23175:2,23166:2,23124:2,23165:0,23175:0,23166:0,23124:0,0,temporal_neighbour,1,23124:0,23166:0,23165:0,23175:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=23124:0|23166:0|23165:0|23175:0;edge=44,116,68,7,0,0,2,1","element=1;role=temporal_neighbour;face=23124:0|23166:0|23165:0|23175:0"
cache=0:0:13760;source=0:13901;face=0:1,0,0,13760,0,13901,2,44,116,68,7,0,0,2,388529:2,388540:2,388530:2,388488:2,388529:0,388540:0,388530:0,388488:0,0,temporal_neighbour,1,388488:0,388530:0,388529:0,388540:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=2;role=temporal_neighbour;face=388488:0|388530:0|388529:0|388540:0;edge=44,116,68,7,0,0,2,2","element=2;role=temporal_neighbour;face=388488:0|388530:0|388529:0|388540:0"
cache=0:0:34305;source=0:35523;face=0:1,0,0,34305,0,35523,1,232,328,268,9,0,0,2,20487:2,353844:2,20491:2,20505:2,20487:0,353844:0,20491:0,20505:0,0,temporal_neighbour,1,20487:0,20491:0,20505:0,353844:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=20487:0|20491:0|20505:0|353844:0;edge=232,328,268,9,0,0,2,1","element=1;role=temporal_neighbour;face=20487:0|20491:0|20505:0|353844:0"
cache=0:0:34306;source=0:35524;face=0:1,0,0,34306,0,35524,2,232,328,268,9,0,0,2,385825:2,1036214:2,385830:2,385847:2,385825:0,1036214:0,385830:0,385847:0,0,temporal_neighbour,1,385825:0,385830:0,385847:0,1036214:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=2;role=temporal_neighbour;face=385825:0|385830:0|385847:0|1036214:0;edge=232,328,268,9,0,0,2,2","element=2;role=temporal_neighbour;face=385825:0|385830:0|385847:0|1036214:0"
cache=0:0:34400;source=0:35649;face=0:1,0,0,34400,0,35649,1,240,240,257,9,0,0,2,7417:2,7738:2,7571:2,7808:2,7417:0,7738:0,7571:0,7808:0,0,temporal_neighbour,1,7417:0,7571:0,7808:0,7738:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=7417:0|7571:0|7808:0|7738:0;edge=240,240,257,9,0,0,2,1","element=1;role=temporal_neighbour;face=7417:0|7571:0|7808:0|7738:0"
cache=0:0:34401;source=0:35650;face=0:1,0,0,34401,0,35650,2,240,240,257,9,0,0,2,371000:2,371348:2,371156:2,371420:2,371000:0,371348:0,371156:0,371420:0,0,temporal_neighbour,1,371000:0,371156:0,371420:0,371348:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=2;role=temporal_neighbour;face=371000:0|371156:0|371420:0|371348:0;edge=240,240,257,9,0,0,2,2","element=2;role=temporal_neighbour;face=371000:0|371156:0|371420:0|371348:0"
cache=0:0:34473;source=0:35722;face=0:1,0,0,34473,0,35722,1,240,312,265,9,0,0,2,310020:2,19248:2,19268:2,19278:2,310020:0,19248:0,19268:0,19278:0,0,temporal_neighbour,1,19248:0,19278:0,19268:0,310020:0,1,2,1,2,-2,-3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=19248:0|19278:0|19268:0|310020:0;edge=240,312,265,9,0,0,2,1","element=1;role=temporal_neighbour;face=19248:0|19278:0|19268:0|310020:0"
cache=0:0:34474;source=0:35723;face=0:1,0,0,34474,0,35723,2,240,312,265,9,0,0,2,973819:2,384601:2,384623:2,384633:2,973819:0,384601:0,384623:0,384633:0,0,temporal_neighbour,1,384601:0,384633:0,384623:0,973819:0,1,2,1,2,-2,-3,3,2,1,2,1,2,"element=2;role=temporal_neighbour;face=384601:0|384633:0|384623:0|973819:0;edge=240,312,265,9,0,0,2,2","element=2;role=temporal_neighbour;face=384601:0|384633:0|384623:0|973819:0"
cache=0:0:35047;source=0:36788;face=0:1,0,0,35047,0,36788,1,249,248,256,9,0,0,0,5238:2,7984:2,5255:2,8126:2,5238:0,7984:0,5255:0,8126:0,0,temporal_neighbour,1,5238:0,5255:0,8126:0,7984:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=1;role=temporal_neighbour;face=5238:0|5255:0|8126:0|7984:0;edge=249,248,256,9,0,0,0,1","element=1;role=temporal_neighbour;face=5238:0|5255:0|8126:0|7984:0"
cache=0:0:35048;source=0:36789;face=0:1,0,0,35048,0,36789,2,249,248,256,9,0,0,0,368836:2,371611:2,368849:2,371756:2,368836:0,371611:0,368849:0,371756:0,0,temporal_neighbour,1,368836:0,368849:0,371756:0,371611:0,2,1,2,1,2,3,3,2,1,2,1,2,"element=2;role=temporal_neighbour;face=368836:0|368849:0|371756:0|371611:0;edge=249,248,256,9,0,0,0,2","element=2;role=temporal_neighbour;face=368836:0|368849:0|371756:0|371611:0"
